method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
bgr,0,0.9509545843930017,0.4332402230129616,0.34097236909938955,0.35217815501707916,0.4332402230129616
bgr,1,0.944771758284687,0.4342801094886023,0.3430655247917094,0.35100019579225755,0.4342801094886023
bgr,2,0.9494165133437191,0.43391140872362494,0.3381938364303523,0.3529784521075929,0.43391140872362494
bgr,3,0.941520414460285,0.4377715637446681,0.3509381254626842,0.35741742498578705,0.4377715637446681
bgr,4,0.9502158352492794,0.4359323779626976,0.34769055585715236,0.3552465872913795,0.4359323779626976
bgr,5,0.9433064369628555,0.43359719847605294,0.34246975588029294,0.35142400054209316,0.43359719847605294
bgr,6,0.9450121535699438,0.44057959724370443,0.34781294186463724,0.3575610361805758,0.44057959724370443
bgr,7,0.9468622088313612,0.4349638968303904,0.3406911133146934,0.3519413826490557,0.4349638968303904
bgr,8,0.945411720807578,0.43358048965985635,0.3487978731860387,0.3514725002862173,0.43358048965985635
bgr,9,0.9451811917511962,0.43244396914655187,0.3474709881290577,0.35084336760361334,0.43244396914655187
bgr,10,0.9425940448302542,0.4305605981460603,0.34554445189909877,0.34903930541284595,0.4305605981460603
bgr,11,0.9428724516674701,0.4340052741648802,0.3465332586633584,0.3514562400113717,0.4340052741648802
bgr,12,0.9450252678506406,0.4350577495705363,0.34106283281164174,0.35348293622214444,0.4350577495705363
bgr,13,0.9476154884808363,0.4329931177724359,0.3404181995962974,0.35034220481838285,0.4329931177724359
bgr,14,0.9501190463092917,0.43460943508933525,0.34058639897050746,0.3515806008913017,0.43460943508933525
bgr,15,0.9452094905830837,0.43526032776520823,0.34554829962155176,0.3546485184240091,0.43526032776520823
bgr,16,0.9476418965222548,0.43057281652670604,0.3356693859818213,0.3481811405764971,0.43057281652670604
bgr,17,0.9431690025966121,0.4357132733721906,0.34517783468190744,0.35367498087197596,0.4357132733721906
bgr,18,0.9431949898517467,0.43711511896778416,0.3476437536942467,0.35459971204628876,0.43711511896778416
bgr,19,0.9466041049276172,0.4338592485365926,0.3433910900913259,0.35105752383058575,0.4338592485365926
bgr,20,0.944176092700738,0.43314173357558405,0.34982127512939976,0.3516452075672636,0.43314173357558405
bgr,21,0.941914926271023,0.4346652673750332,0.35167871417759833,0.3542541953738013,0.4346652673750332
bgr,22,0.9425516970355501,0.4362482882096212,0.35092852682110093,0.3527279757258254,0.4362482882096212
bgr,23,0.9421047969449633,0.43724110726484444,0.3531177562627928,0.3559105577724988,0.43724110726484444
bgr,24,0.9467323156856373,0.43333383919486124,0.3437190414933098,0.3529911705590295,0.43333383919486124
bgr,25,0.9487980583432428,0.4347723124333095,0.3389589411600059,0.3528539766013539,0.4347723124333095
bgr,26,0.9435019405533224,0.4340814415509235,0.34331115500706355,0.3531346101108017,0.4340814415509235
bgr,27,0.9452852495559709,0.4339342157751771,0.3443016090379666,0.3523079076254623,0.4339342157751771
bgr,28,0.9458496725225464,0.4342075842838777,0.3444588218259642,0.35298970068201074,0.4342075842838777
bgr,29,0.9470668247971689,0.431602134227075,0.34049021045432293,0.3498888854501466,0.431602134227075
